,fruit,path,label
58,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi00232.png,4
59,Persimmon,dataset/Persimmon/Persimmon1342.png,9
60,Pomegranate,dataset/Pomegranate/Pomegranet001004.png,12
61,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002586.png,4
62,Carambola,dataset/Carambola/Carambola 00177.png,2
63,Peach,dataset/Peach/Peach001327.png,7
64,Carambola,dataset/Carambola/Carambola 0088.png,2
65,Peach,dataset/Peach/Peach002603.png,7
66,Banana,dataset/Banana/Banana0340.png,1
67,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002721.png,4
68,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi00442.png,4
69,Orange,dataset/Orange/Orange001723.png,6
70,Guava,dataset/Guava/guava total final/Guava0528.png,3
71,Kiwi,dataset/Kiwi/kiwi A/Kiwi A00686.png,4
72,Persimmon,dataset/Persimmon/Persimmon578.png,9
73,Apple,dataset/Apple/Total Number of Apples/Apple 04037.png,0
74,Guava,dataset/Guava/Guava total/GuavaуАВ200 resized.png,3
75,Persimmon,dataset/Persimmon/Persimmon1668.png,9
76,Orange,dataset/Orange/Orange00195.png,6
77,muskmelon,dataset/muskmelon/Muskmelon 00444.png,14
78,Kiwi,dataset/Kiwi/Kiwi B/Kiwi B0076.png,4
79,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi001612.png,4
80,Pomegranate,dataset/Pomegranate/Pomegranet001985.png,12
81,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi001354.png,4
82,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003427.png,4
83,Apple,dataset/Apple/Apple A/Apple 5.png,0
84,Guava,dataset/Guava/Guava total/GuavaуАВ1445.png,3
85,Carambola,dataset/Carambola/Carambola 00612.png,2
86,muskmelon,dataset/muskmelon/Muskmelon 001089.png,14
87,Pomegranate,dataset/Pomegranate/Pomegranet00580.png,12
88,Guava,dataset/Guava/Guava total/GuavaуАВ832.png,3
89,Kiwi,dataset/Kiwi/Kiwi C/Kiwi C00122.png,4
90,Peach,dataset/Peach/Peach001536.png,7
91,Orange,dataset/Orange/Orange001907.png,6
92,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002382.png,4
93,Guava,dataset/Guava/Guava total/GuavaуАВ1652 resized resized.png,3
94,muskmelon,dataset/muskmelon/Muskmelon 001704.png,14
95,Kiwi,dataset/Kiwi/Kiwi B/Kiwi B0028.png,4
96,Tomatoes,dataset/Tomatoes/Tamotoes002108.png,13
97,Guava,dataset/Guava/guava total final/Guava02188.png,3
98,Guava,dataset/Guava/Guava total/GuavaуАВ848.png,3
99,Pitaya,dataset/Pitaya/Pitaya002329.png,10
100,Guava,dataset/Guava/Guava total/GuavaуАВ195.png,3
101,Mango,dataset/Mango/Mango003149.png,5
102,Mango,dataset/Mango/Mango003287.png,5
103,Guava,dataset/Guava/Guava total/GuavaуАВ912.png,3
104,Guava,dataset/Guava/guava total final/Guava01704.png,3
105,Pomegranate,dataset/Pomegranate/Pomegranet0041.png,12
106,Peach,dataset/Peach/Peach00346.png,7
107,Kiwi,dataset/Kiwi/Kiwi C/Kiwi C00251.png,4
108,Peach,dataset/Peach/Peach002536.png,7
109,Apple,dataset/Apple/Total Number of Apples/Apple 01608.png,0
110,Persimmon,dataset/Persimmon/Persimmon1100.png,9
111,Apple,dataset/Apple/Total Number of Apples/Apple 04540.jpeg,0
112,Apple,dataset/Apple/Total Number of Apples/Apple 0348.png,0
113,Apple,dataset/Apple/Apple F/Apple F269.png,0
114,Kiwi,dataset/Kiwi/kiwi A/Kiwi A00878.png,4
115,Guava,dataset/Guava/Guava total/GuavaуАВ2388 resized.png,3
116,Guava,dataset/Guava/guava total final/Guava02827.png,3
117,Apple,dataset/Apple/Apple B/scene07326.png,0
118,Persimmon,dataset/Persimmon/Persimmon1181.png,9
119,Kiwi,dataset/Kiwi/Kiwi B/Kiwi B00966.png,4
120,Apple,dataset/Apple/Total Number of Apples/Apple 0702.png,0
121,Mango,dataset/Mango/Mango00360.png,5
122,Pomegranate,dataset/Pomegranate/Pomegranet0061.png,12
123,Pear,dataset/Pear/pear_0_6468.png,8
124,Guava,dataset/Guava/Guava total/GuavaуАВ521 resized.png,3
125,Apple,dataset/Apple/Apple D/Apple De01721.png,0
126,Guava,dataset/Guava/Guava total/GuavaуАВ2390 resized resized.png,3
127,Apple,dataset/Apple/Apple F/Apple F _0_4672.png,0
128,Apple,dataset/Apple/Total Number of Apples/Apple 0468.png,0
129,Orange,dataset/Orange/Orange00585.png,6
130,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002266.png,4
131,Peach,dataset/Peach/Peach00217.png,7
132,Apple,dataset/Apple/Total Number of Apples/Apple 04763.png,0
133,Pear,dataset/Pear/Pear 1316.png,8
134,Persimmon,dataset/Persimmon/Persimmon1496.png,9
135,Guava,dataset/Guava/guava total final/Guava0555.png,3
136,Tomatoes,dataset/Tomatoes/Tamotoes00762.png,13
137,Tomatoes,dataset/Tomatoes/Tamotoes00397.png,13
138,Kiwi,dataset/Kiwi/Kiwi C/Kiwi C00245.png,4
139,Guava,dataset/Guava/Guava total/GuavaуАВ1383.png,3
140,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi001937.png,4
141,Pomegranate,dataset/Pomegranate/Pomegranet00351.png,12
142,Guava,dataset/Guava/Guava total/GuavaуАВ1669 resized resized.png,3
143,Guava,dataset/Guava/Guava total/GuavaуАВ1350 resized.jpg,3
144,Mango,dataset/Mango/Mango00243.png,5
145,Mango,dataset/Mango/Mango002394.png,5
146,Apple,dataset/Apple/Total Number of Apples/Apple 01202.png,0
147,Guava,dataset/Guava/Guava total/GuavaуАВ2361 resized resized.png,3
148,Pitaya,dataset/Pitaya/Pitaya002096.png,10
149,Carambola,dataset/Carambola/Carambola 001703.png,2
150,Apple,dataset/Apple/Total Number of Apples/Apple 01773.png,0
151,Mango,dataset/Mango/Mango001754.png,5
152,Persimmon,dataset/Persimmon/Persimmon207.png,9
153,Guava,dataset/Guava/guava B/Guava982.png,3
154,Mango,dataset/Mango/Mango003611.png,5
155,Orange,dataset/Orange/Orange001062.png,6
156,Kiwi,dataset/Kiwi/kiwi A/Kiwi A001191.png,4
157,Mango,dataset/Mango/Mango004078.png,5
158,Pomegranate,dataset/Pomegranate/Pomegranet00990.png,12
159,Guava,dataset/Guava/Guava total/GuavaуАВ1244.png,3
160,Pear,dataset/Pear/Pear 2133.png,8
161,Carambola,dataset/Carambola/Carambola 00434.png,2
162,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003330.png,4
163,Pear,dataset/Pear/Pear 821.png,8
164,Orange,dataset/Orange/Orange002469.png,6
165,Apple,dataset/Apple/Apple B/Red Applee4 - Copy.png,0
166,Mango,dataset/Mango/Mango001657.png,5
167,Carambola,dataset/Carambola/Carambola 001232.png,2
168,Mango,dataset/Mango/Mango001220.png,5
169,Persimmon,dataset/Persimmon/Persimmon516.png,9
170,Banana,dataset/Banana/Banana01101.png,1
171,Apple,dataset/Apple/Apple D/Apple De13081.png,0
172,Carambola,dataset/Carambola/Carambola 00269.png,2
173,Guava,dataset/Guava/Guava total/GuavaуАВ744 resized.png,3
174,Apple,dataset/Apple/Total Number of Apples/Apple 01410.png,0
175,Peach,dataset/Peach/Peach001438.png,7
176,Persimmon,dataset/Persimmon/Persimmon1592.png,9
177,Persimmon,dataset/Persimmon/Persimmon66.png,9
178,Pomegranate,dataset/Pomegranate/Pomegranet00126.png,12
179,Guava,dataset/Guava/Guava total/1GuavaуАВ2589 resized resized.png,3
180,Apple,dataset/Apple/Total Number of Apples/Apple 01265.png,0
181,Guava,dataset/Guava/guava B/Guava43.png,3
182,Mango,dataset/Mango/Mango001125.png,5
183,Guava,dataset/Guava/Guava total/GuavaуАВ1912.png,3
184,Kiwi,dataset/Kiwi/kiwi A/Kiwi A00640.png,4
185,Guava,dataset/Guava/Guava total/GuavaуАВ1611.png,3
186,Apple,dataset/Apple/Apple D/scene00151.png,0
187,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002718.png,4
188,Peach,dataset/Peach/Peach002125.png,7
189,Guava,dataset/Guava/Guava total/GuavaуАВ1896.png,3
190,Guava,dataset/Guava/Guava total/1GuavaуАВ2938 resized.jpg,3
191,Kiwi,dataset/Kiwi/Kiwi B/Kiwi B00758.png,4
192,Apple,dataset/Apple/Total Number of Apples/Apple 02593.png,0
193,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003398.png,4
194,Guava,dataset/Guava/Guava total/GuavaуАВ1091.png,3
195,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002498.png,4
196,Guava,dataset/Guava/Guava total/GuavaуАВ2339.png,3
197,Guava,dataset/Guava/guava total final/Guava03925.png,3
198,Guava,dataset/Guava/guava B/Guava212.png,3
199,Pear,dataset/Pear/Pear 1091.png,8
200,Apple,dataset/Apple/Total Number of Apples/Apple 0393.png,0
201,Mango,dataset/Mango/Mango002243.png,5
202,Guava,dataset/Guava/Guava total/GuavaуАВ890 resized resized.png,3
203,Apple,dataset/Apple/Total Number of Apples/Apple 01170.png,0
204,Tomatoes,dataset/Tomatoes/Tamotoes00284.png,13
205,Persimmon,dataset/Persimmon/Persimmon298.png,9
206,Persimmon,dataset/Persimmon/Persimmon519.png,9
207,Pitaya,dataset/Pitaya/Pitaya001498.png,10
208,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi00958.png,4
209,Pitaya,dataset/Pitaya/Pitaya002010.png,10
210,Mango,dataset/Mango/Mango001389.png,5
211,Plum,dataset/Plum/PlumуАВ237.png,11
212,Guava,dataset/Guava/guava total final/Guava02612.png,3
213,Orange,dataset/Orange/Orange001209.png,6
214,Kiwi,dataset/Kiwi/kiwi A/Kiwi A001066.png,4
215,Mango,dataset/Mango/Mango002352.png,5
216,Plum,dataset/Plum/PlumуАВ872.png,11
217,Mango,dataset/Mango/Mango004105.png,5
218,Apple,dataset/Apple/Total Number of Apples/Apple 01072.png,0
219,Mango,dataset/Mango/Mango002034.png,5
220,Guava,dataset/Guava/Guava total/GuavaуАВ1276 resized.jpg,3
221,muskmelon,dataset/muskmelon/Muskmelon 001685.png,14
222,Guava,dataset/Guava/Guava total/GuavaуАВ1418 resized resized.png,3
223,Carambola,dataset/Carambola/Carambola 00904.png,2
224,Carambola,dataset/Carambola/Carambola 0030.png,2
225,Guava,dataset/Guava/Guava total/GuavaуАВ67 resized.jpg,3
226,Pomegranate,dataset/Pomegranate/Pomegranet001837.png,12
227,Guava,dataset/Guava/Guava total/GuavaуАВ430.png,3
228,Apple,dataset/Apple/Total Number of Apples/Apple 03470.png,0
229,Apple,dataset/Apple/Apple E/Apple E0250.png,0
230,Persimmon,dataset/Persimmon/Persimmon657.png,9
231,Apple,dataset/Apple/Apple D/scene00501.png,0
232,Persimmon,dataset/Persimmon/Persimmon1881.png,9
233,Orange,dataset/Orange/Orange001717.png,6
234,Apple,dataset/Apple/Total Number of Apples/Apple 0435.png,0
235,Pitaya,dataset/Pitaya/Pitaya001821.png,10
236,Apple,dataset/Apple/Total Number of Apples/Apple 03277.png,0
237,Guava,dataset/Guava/guava total final/Guava03379.png,3
238,Apple,dataset/Apple/Apple F/Apple F _0_3082.png,0
239,Banana,dataset/Banana/Banana0733.png,1
240,Guava,dataset/Guava/guava B/Guava759.png,3
241,Peach,dataset/Peach/Peach00306.png,7
242,Orange,dataset/Orange/Orange002812.png,6
243,Guava,dataset/Guava/Guava total/1GuavaуАВ2565 resized resized.png,3
244,Mango,dataset/Mango/Mango002411.png,5
245,Guava,dataset/Guava/Guava total/GuavaуАВ625.png,3
246,Kiwi,dataset/Kiwi/kiwi A/Kiwi A002172.png,4
247,Apple,dataset/Apple/Total Number of Apples/Apple 01704.png,0
248,Orange,dataset/Orange/Orange00163.png,6
249,Guava,dataset/Guava/Guava total/1GuavaуАВ2475 resized resized.png,3
250,Apple,dataset/Apple/Total Number of Apples/Apple 0223.png,0
251,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi00708.png,4
252,Apple,dataset/Apple/Apple F/Apple F _0_9237.png,0
253,Pitaya,dataset/Pitaya/Pitaya001756.png,10
254,Banana,dataset/Banana/Banana0761.png,1
255,Carambola,dataset/Carambola/Carambola 001301.png,2
256,Guava,dataset/Guava/Guava total/GuavaуАВ1253 resized.jpg,3
257,Banana,dataset/Banana/Banana01765.png,1
258,Pomegranate,dataset/Pomegranate/Pomegranet00367.png,12
259,Guava,dataset/Guava/guava total final/Guava02792.png,3
260,Mango,dataset/Mango/Mango00226.png,5
261,muskmelon,dataset/muskmelon/Muskmelon 00112.png,14
262,Apple,dataset/Apple/Apple E/Apple E38.png,0
263,Guava,dataset/Guava/guava B/Guava176.png,3
264,Guava,dataset/Guava/guava B/Guava1614.png,3
265,Orange,dataset/Orange/Orange002128.png,6
266,Guava,dataset/Guava/Guava total/GuavaуАВ114 resized.png,3
267,Guava,dataset/Guava/Guava total/GuavaуАВ691 resized resized.png,3
268,Guava,dataset/Guava/Guava total/GuavaуАВ899.png,3
269,Guava,dataset/Guava/Guava total/GuavaуАВ1721 resized.jpg,3
270,Guava,dataset/Guava/Guava total/GuavaуАВ627 resized.png,3
271,Peach,dataset/Peach/Peach002329.png,7
272,Banana,dataset/Banana/Banana02792.png,1
273,Guava,dataset/Guava/Guava total/GuavaуАВ584 resized resized.png,3
274,Apple,dataset/Apple/Total Number of Apples/Apple 03150.png,0
275,Banana,dataset/Banana/Banana02530.png,1
276,Banana,dataset/Banana/Banana01751.png,1
277,Mango,dataset/Mango/Mango00327.png,5
278,Guava,dataset/Guava/Guava total/1GuavaуАВ3076 resized.png,3
279,Orange,dataset/Orange/Orange001034.png,6
280,Apple,dataset/Apple/Apple F/scene07741.png,0
281,Apple,dataset/Apple/Total Number of Apples/Apple 03207.png,0
282,Guava,dataset/Guava/Guava total/1GuavaуАВ3135 resized resized.png,3
283,Apple,dataset/Apple/Apple A/Apple 519.png,0
284,Guava,dataset/Guava/Guava total/GuavaуАВ319 resized.jpg,3
285,Apple,dataset/Apple/Total Number of Apples/Apple 0132.png,0
286,Guava,dataset/Guava/Guava total/GuavaуАВ1578.png,3
287,Guava,dataset/Guava/Guava total/GuavaуАВ659 resized.png,3
288,Guava,dataset/Guava/guava total final/Guava02829.png,3
289,Guava,dataset/Guava/Guava total/GuavaуАВ164 resized.jpg,3
290,Persimmon,dataset/Persimmon/Persimmon246.png,9
291,Banana,dataset/Banana/Banana01971.png,1
292,Guava,dataset/Guava/guava A/scene07881.png,3
293,Guava,dataset/Guava/Guava total/GuavaуАВ1250 resized.png,3
294,Kiwi,dataset/Kiwi/Kiwi B/Kiwi B00490.png,4
295,Tomatoes,dataset/Tomatoes/Tamotoes00437.png,13
296,Banana,dataset/Banana/Banana01224.png,1
297,Guava,dataset/Guava/Guava total/GuavaуАВ2174 resized.png,3
298,Guava,dataset/Guava/Guava total/GuavaуАВ255.png,3
299,Carambola,dataset/Carambola/Carambola 002077.png,2
300,Pear,dataset/Pear/Pear 1697.png,8
301,Pomegranate,dataset/Pomegranate/Pomegranet00564.png,12
302,Guava,dataset/Guava/Guava total/1GuavaуАВ3028.png,3
303,muskmelon,dataset/muskmelon/Muskmelon 001149.png,14
304,Guava,dataset/Guava/Guava total/1GuavaуАВ2897 resized.jpg,3
305,Guava,dataset/Guava/Guava total/GuavaуАВ2019 resized.png,3
306,Guava,dataset/Guava/Guava total/1GuavaуАВ2754 resized.jpg,3
307,Peach,dataset/Peach/Peach00955.png,7
308,Pear,dataset/Pear/Pear 1850.png,8
309,Apple,dataset/Apple/Apple F/scene00421.png,0
310,Apple,dataset/Apple/Apple A/Apple 3.png,0
311,Guava,dataset/Guava/guava B/Guava421.png,3
312,Kiwi,dataset/Kiwi/kiwi A/Kiwi A001833.png,4
313,Guava,dataset/Guava/Guava total/GuavaуАВ1187 resized.png,3
314,Apple,dataset/Apple/Apple F/Apple F _0_7798.png,0
315,Pitaya,dataset/Pitaya/Pitaya001370.png,10
316,Kiwi,dataset/Kiwi/Kiwi C/Kiwi C0077.png,4
317,Persimmon,dataset/Persimmon/Persimmon1762.png,9
318,Pitaya,dataset/Pitaya/Pitaya001523.png,10
319,Guava,dataset/Guava/guava total final/Guava02425.png,3
320,Persimmon,dataset/Persimmon/Persimmon615.png,9
321,Orange,dataset/Orange/Orange001619.png,6
322,Apple,dataset/Apple/Apple E/Apple E0138.png,0
323,Pear,dataset/Pear/Pear 1747.png,8
324,Guava,dataset/Guava/Guava total/GuavaуАВ259 resized resized.png,3
325,Guava,dataset/Guava/Guava total/GuavaуАВ565 resized.jpg,3
326,Guava,dataset/Guava/Guava total/GuavaуАВ1034.png,3
327,Carambola,dataset/Carambola/Carambola 001026.png,2
328,Apple,dataset/Apple/Apple C/Apple Ce00601.png,0
329,Banana,dataset/Banana/Banana01917.png,1
330,Banana,dataset/Banana/Banana01792.png,1
331,Guava,dataset/Guava/Guava total/1GuavaуАВ2969 resized resized.png,3
332,Pear,dataset/Pear/Pear 517.png,8
333,Plum,dataset/Plum/PlumуАВ605.png,11
334,Plum,dataset/Plum/PlumуАВ807.png,11
335,Pear,dataset/Pear/Pear 1053.png,8
336,Mango,dataset/Mango/Mango003751.png,5
337,Pitaya,dataset/Pitaya/Pitaya001997.png,10
338,Banana,dataset/Banana/Banana0691.png,1
339,Orange,dataset/Orange/Orange00323.png,6
340,Banana,dataset/Banana/Banana0510.png,1
341,Persimmon,dataset/Persimmon/Persimmon446.png,9
342,Mango,dataset/Mango/Mango003568.png,5
343,Guava,dataset/Guava/guava B/Guava1439.png,3
344,Mango,dataset/Mango/Mango001556.png,5
345,Orange,dataset/Orange/Orange001551.png,6
346,Pomegranate,dataset/Pomegranate/Pomegranet001729.png,12
347,Guava,dataset/Guava/Guava total/GuavaуАВ2093.png,3
348,Apple,dataset/Apple/Total Number of Apples/Apple 03762.png,0
349,Apple,dataset/Apple/Total Number of Apples/Apple 01212.png,0
350,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003674.png,4
351,Pomegranate,dataset/Pomegranate/Pomegranet001215.png,12
352,Plum,dataset/Plum/PlumуАВ199.png,11
353,Apple,dataset/Apple/Apple C/ne00501.png,0
354,Orange,dataset/Orange/Orange002765.png,6
355,Pomegranate,dataset/Pomegranate/Pomegranet0099.png,12
356,Guava,dataset/Guava/Guava total/GuavaуАВ2309 resized.png,3
357,Orange,dataset/Orange/Orange001846.png,6
358,Guava,dataset/Guava/guava B/Guava1500.png,3
359,Guava,dataset/Guava/Guava total/GuavaуАВ1320 resized.png,3
360,muskmelon,dataset/muskmelon/Muskmelon 00217.png,14
361,Apple,dataset/Apple/Apple F/Apple F824.png,0
362,Guava,dataset/Guava/guava total final/Guava03808.png,3
363,Pear,dataset/Pear/pear_0_4674.png,8
364,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003991.png,4
365,Pear,dataset/Pear/Pear 566.png,8
366,Peach,dataset/Peach/Peach00683.png,7
367,Apple,dataset/Apple/Apple C/ne03801.png,0
368,Apple,dataset/Apple/Total Number of Apples/Apple 03053.png,0
369,Guava,dataset/Guava/Guava total/GuavaуАВ1007.png,3
370,Kiwi,dataset/Kiwi/Kiwi B/Kiwi B001020.png,4
371,Guava,dataset/Guava/guava total final/Guava01396.png,3
372,Orange,dataset/Orange/Orange001093.png,6
373,Apple,dataset/Apple/Apple F/Apple F388.png,0
374,Guava,dataset/Guava/Guava total/GuavaуАВ2076 resized.png,3
375,Kiwi,dataset/Kiwi/Kiwi B/Kiwi B00406.png,4
376,Carambola,dataset/Carambola/Carambola 001779.png,2
377,Apple,dataset/Apple/Total Number of Apples/Apple 03343.png,0
378,Guava,dataset/Guava/guava B/Guava233.png,3
379,Apple,dataset/Apple/Total Number of Apples/Apple 01125.png,0
380,Mango,dataset/Mango/Mango002102.png,5
381,Pear,dataset/Pear/pear_0_6552.png,8
382,Guava,dataset/Guava/Guava total/GuavaуАВ66 resized.jpg,3
383,Apple,dataset/Apple/Apple B/scene05776.png,0
384,Guava,dataset/Guava/Guava total/GuavaуАВ999.png,3
385,Plum,dataset/Plum/PlumуАВ1067.png,11
386,Plum,dataset/Plum/PlumуАВ2078.png,11
387,Pomegranate,dataset/Pomegranate/Pomegranet00452.png,12
388,Guava,dataset/Guava/guava total final/Guava01619.png,3
389,Guava,dataset/Guava/Guava total/GuavaуАВ1100 resized.png,3
390,Apple,dataset/Apple/Apple D/Apple dee05681.png,0
391,Kiwi,dataset/Kiwi/Kiwi C/Kiwi C0017.png,4
392,Apple,dataset/Apple/Total Number of Apples/Apple 04398.jpeg,0
393,Banana,dataset/Banana/Banana01370.png,1
394,Mango,dataset/Mango/Mango00482.png,5
395,muskmelon,dataset/muskmelon/Muskmelon 001588.png,14
396,Guava,dataset/Guava/Guava total/GuavaуАВ207.png,3
397,Pear,dataset/Pear/Pear 1103.png,8
398,Mango,dataset/Mango/Mango002430.png,5
399,Kiwi,dataset/Kiwi/kiwi A/Kiwi A00657.png,4
400,Guava,dataset/Guava/Guava total/1GuavaуАВ2514 resized.jpg,3
401,Apple,dataset/Apple/Total Number of Apples/Apple 01797.png,0
402,Guava,dataset/Guava/Guava total/1GuavaуАВ2618 resized resized.png,3
403,Tomatoes,dataset/Tomatoes/Tamotoes001132.png,13
404,Pitaya,dataset/Pitaya/Pitaya001095.png,10
405,Mango,dataset/Mango/Mango001354.png,5
406,Guava,dataset/Guava/Guava total/GuavaуАВ1795.png,3
407,Guava,dataset/Guava/Guava total/GuavaуАВ1129 resized.png,3
408,Pear,dataset/Pear/Pear 1974.png,8
409,Plum,dataset/Plum/PlumуАВ577.png,11
410,Guava,dataset/Guava/Guava total/GuavaуАВ1716 resized.png,3
411,Mango,dataset/Mango/Mango00987.png,5
412,Apple,dataset/Apple/Apple A/Apple 177.png,0
413,Apple,dataset/Apple/Apple D/Apple dee04921.png,0
414,Guava,dataset/Guava/Guava total/GuavaуАВ2399.png,3
415,Apple,dataset/Apple/Apple F/Apple F _0_4392.png,0
416,Persimmon,dataset/Persimmon/Persimmon1065.png,9
417,Apple,dataset/Apple/Total Number of Apples/Apple 0899.png,0
418,Guava,dataset/Guava/Guava total/1GuavaуАВ2579.png,3
419,Orange,dataset/Orange/Orange00604.png,6
420,Apple,dataset/Apple/Total Number of Apples/Apple 04589.jpeg,0
421,Pear,dataset/Pear/Pear 1106.png,8
422,Apple,dataset/Apple/Apple F/Apple F _0_213.png,0
423,Apple,dataset/Apple/Total Number of Apples/Apple 02638.png,0
424,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi001735.png,4
425,Guava,dataset/Guava/Guava total/GuavaуАВ1838 resized resized.png,3
426,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002145.png,4
427,Apple,dataset/Apple/Apple F/Apple F684.png,0
428,Apple,dataset/Apple/Total Number of Apples/Apple 016.png,0
429,muskmelon,dataset/muskmelon/Muskmelon 001662.png,14
430,Apple,dataset/Apple/Apple E/Apple E60.png,0
431,Guava,dataset/Guava/guava total final/Guava03943.png,3
432,Apple,dataset/Apple/Total Number of Apples/Apple 03765.png,0
433,Banana,dataset/Banana/Banana01490.png,1
434,Kiwi,dataset/Kiwi/kiwi A/Kiwi A001301.png,4
435,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003643.png,4
436,Peach,dataset/Peach/Peach001720.png,7
437,Guava,dataset/Guava/guava total final/Guava03150.png,3
438,Mango,dataset/Mango/Mango002754.png,5
439,Apple,dataset/Apple/Apple A/Apple 394.png,0
440,Guava,dataset/Guava/guava total final/Guava02993.png,3
441,Pitaya,dataset/Pitaya/Pitaya00358.png,10
442,Tomatoes,dataset/Tomatoes/Tamotoes00532.png,13
443,Kiwi,dataset/Kiwi/kiwi A/Kiwi A00386.png,4
444,Apple,dataset/Apple/Total Number of Apples/Apple 04548.jpeg,0
